Track,Label,Start,End
transcript,k um,555,1313
transcript,I would like to have the,2455,4125
transcript,light green lettuce,4125,5430
transcript,placed on the bread,5430,6642
transcript,tomato closest to me on my left,10719,13947
transcript,I'd like to have the,18524,19630
transcript,the sw- cheese,20583,21982
transcript,"with holes in it, yes",23092,24888
transcript,can I...,27971,28392
transcript,purple blob,28392,29401
transcript,whatever that is,29401,30722
transcript,ok,31616,32170
transcript,I'll have that ,34403,35610
transcript,red ketchup splatter thing,35610,38276
transcript,I'll have the ,42475,43774
transcript,square cheese,43774,44905
transcript,I will have the ,49560,50826
transcript,the,51864,52965
transcript,white circle,53800,55376
transcript,not sure what that is,55376,56896
transcript,to your left,56896,57863
transcript,yes,57863,58531
transcript,and then,61662,62434
transcript,bacon please,63543,65089
transcript,"on my left side, your right",67255,69736
transcript,Yes,69736,70286
transcript,May I also have the,72823,73627
transcript,egg on it,73627,74580
transcript,"that meat which is on my right, your left",78097,82655
transcript,yep,83054,83507
transcript,Can I have that,90255,91709
transcript,other tomato,91709,92575
transcript,on it,92575,93720
transcript,throw the other,105782,106741
transcript,bacon ,106741,107482
transcript,on it I guess,107482,108473
transcript,white um jelly thing,112990,115403
transcript,pink circle closest to me,120160,122608
transcript,the other pink circle,124793,126526
reference,unambiguous,4125,5430
reference,unambiguous,10719,13947
reference,ambiguous,20583,21982
reference,refinement,23092,24888
reference,unambiguous,28392,29401
reference,unambiguous,35610,38276
reference,unambiguous,43774,44905
reference,ambiguous,53800,55376
reference,refinement,56896,57863
reference,ambiguous,63543,65089
reference,refinement,67255,69736
reference,unambiguous,73627,74580
reference,unambiguous,78097,82655
reference,unambiguous,91709,92575
reference,unambiguous,106741,107482
reference,ambiguous,112990,115403
reference,unambiguous,120160,122608
reference,unambiguous,124793,126526
object,Lettuce2,4125,5430
object,Tomato1,10719,13947
object,Cheese2,20583,21982
object,Cheese2,23092,24888
object,Jelly,28392,29401
object,Ketchup,35610,38276
object,Cheese1,43774,44905
object,WhiteCircle,53800,55376
object,WhiteCircle,56896,57863
object,Bacon1,63543,65089
object,Bacon1,67255,69736
object,Egg,73627,74580
object,BrownCircle,78097,82655
object,Tomato2,91709,92575
object,Bacon2,106741,107482
object,Mayo,112990,115403
object,PinkCircle1,120160,122608
object,PinkCircle2,124793,126526
Gaze_Objects,Onions,-1397,-1099
Gaze_Objects,Pickles2,-1099,-899
Gaze_Objects,Cookie,-899,-200
Gaze_Objects,Lettuce2,-67,1463
Gaze_Objects,BrownBlob,1463,1765
Gaze_Objects,Cookie,1765,1964
Gaze_Objects,Egg,1964,2195
Gaze_Objects,Lettuce1,2195,2496
Gaze_Objects,Cookie,2496,2927
Gaze_Objects,Lettuce2,2927,4093
Gaze_Objects,Cookie,4193,4493
Gaze_Objects,Lettuce2,4493,4961
Gaze_Objects,Lettuce2,5490,6589
Gaze_Objects,Bacon1,7119,7718
Gaze_Objects,Tomato1,7718,7918
Gaze_Objects,PinkCircle1,7918,8218
Gaze_Objects,Mayo,8218,8716
Gaze_Objects,Egg,8716,9016
Gaze_Objects,Cookie,9016,9649
Gaze_Objects,BrownCircle,10148,10614
Gaze_Objects,Cookie,10614,10880
Gaze_Objects,BrownBlob,10880,11346
Gaze_Objects,Tomato1,11511,11811
Gaze_Objects,Bacon1,11811,12544
Gaze_Objects,Tomato1,13607,14539
Gaze_Objects,Ketchup,15604,15970
