0	0
0.1	12
0.17	4
0.23	14
0.315	8
0.515	0
0.915	21
0.97	2
0.97	6
1.065	19
1.135	4
1.135	6
1.28	21
1.345	6
1.425	15
1.515	19
1.515	16
1.585	4
1.585	6
1.715	15
1.815	1
1.9	19
2.045	0
2.795	0
2.895	19
2.96	4
3.015	19
3.07	4
3.07	6
3.22	2
3.22	6
3.365	7
3.42	6
3.465	14
3.525	19
3.65	6
3.745	19
3.745	16
3.85	6
3.895	7
3.975	12
4.05	2
4.05	4
4.15	19
4.225	4
4.28	21
4.375	4
4.46	19
4.495	19
4.55	1
4.61	20
4.66	4
4.765	17
4.805	1
4.85	13
4.91	7
4.99	1
5.075	19
5.125	1
5.19	18
5.24	2
5.24	4
5.31	13
5.375	15
5.495	1
5.605	19
5.64	19
5.685	7
5.745	6
5.795	19
5.795	16
5.885	6
5.99	15
6.17	0
6.92	0
7.02	7
7.105	1
7.19	19
7.245	1
7.37	19
7.415	1
7.48	19
7.59	2
7.59	6
7.79	21
7.93	0
8.33	2
8.33	6
8.45	7
8.51	6
8.56	14
8.63	19
8.69	4
8.69	6
8.835	21
8.885	1
8.94	15
9.04	21
9.1	6
9.15	15
9.255	6
9.325	18
9.38	6
9.445	20
9.505	6
9.575	19
9.63	20
9.695	13
9.785	6
9.855	19
9.9	6
9.99	1
10.05	19
10.08	19
10.15	18
10.21	1
10.26	13
10.305	6
10.4	7
10.475	19
10.555	4
10.655	1
10.82	19
10.865	19
10.92	4
10.985	17
11.03	1
11.07	15
11.195	1
11.325	19
11.365	19
11.425	7
11.48	6
11.57	19
11.57	16
11.765	0
12.515	0
12.615	6
12.705	19
12.75	6
12.82	15
12.895	6
12.96	21
13.02	21
13.11	3
13.19	13
13.25	19
13.295	1
13.345	19
13.385	19
13.43	17
13.47	1
13.545	19
13.605	6
13.675	7
13.75	18
13.845	2
13.845	6
13.995	19
14.045	19
14.075	17
14.115	6
14.185	6
14.25	20
14.29	15
14.365	1
14.485	20
14.545	19
14.6	6
14.67	19
14.725	20
14.79	13
14.875	6
14.95	19
14.995	6
15.085	1
15.145	19
15.175	19
15.245	2
15.245	6
15.35	21
15.425	6
15.53	19
15.585	6
15.705	19
15.705	16
15.82	19
15.91	2
15.91	6
16.075	21
16.155	1
16.255	19
16.325	21
16.42	14
16.49	4
16.49	6
16.575	15
16.675	6
16.73	19
16.78	2
16.88	19
16.925	17
16.955	1
17.01	21
17.08	13
17.18	4
17.32	19
17.425	0
17.825	14
17.915	6
17.995	18
18.035	6
18.1	20
18.17	17
18.205	1
18.26	21
18.335	13
18.435	4
18.52	19
18.58	7
18.65	4
18.7	13
18.795	6
18.865	19
18.915	6
18.995	15
19.08	19
19.145	2
19.145	4
19.345	0
